event_id,neutrino_energy,true dir,linefit best dir,linefit seed dir,linefit_ang_err,splinempe best dir,splinempe_ang_err
39,1191262.614233368,"[102.90010915115069, 128.17088238179866]","[102.92921303615118, 128.06044241455285]","[103.03165712992342, 128.060882724347]",0.11151124447071482,[102.92148812 128.02634127],0.1424998336589027
40,10888004.053768784,"[159.9655783820926, 208.8917822331945]","[159.9180219026986, 209.16589943234018]","[159.6694431887579, 209.6751311811419]",0.10535867707986972,[159.6813584  208.92391216],0.28443594316054666
41,26045300.291751083,"[99.02186826792651, 294.1334302648726]","[99.04958732758266, 294.0627908883132]","[98.90734869853249, 293.90661438249424]",0.0750679174567199,[ 99.06854228 294.06696987],0.08053741664612955
42,4759027.7011087425,"[93.86590467585161, 142.88295455028268]","[93.57901222018666, 142.65811155689434]","[93.5852109743991, 142.56580174315468]",0.36420935808019655,[ 93.65578264 142.60595935],0.3471993952580491
43,45682253.21349931,"[149.13801007912403, 270.6781174079005]","[149.29626753117495, 270.18898262562095]","[149.240442333866, 270.0589455750286]",0.2961604581766645,[149.47251836 269.97230589],0.4916308550487368
44,6630543.366884275,"[136.8413093512921, 26.892178099757277]","[141.26453332027708, 25.03302229547077]","[141.3241251662219, 25.468513750289592]",4.587559815402333,[141.11086656  25.36196987],4.3858367188876235
45,89742744.39480709,"[138.58634838576566, 237.25998352158456]","[138.2326795502687, 237.81650755134052]","[138.08229144501362, 238.32676089818253]",0.5114209754513875,[138.00451832 240.31653128],2.114921353310124
46,1177639.8069247229,"[117.24976072360232, 16.570262314810545]","[117.51805051049284, 16.505673345322116]","[117.5592077277634, 16.522877165401646]",0.2743512076157067,[117.58031311  16.34171562],0.38784638678062244
47,1010827.0520054725,"[134.7509555145609, 163.55626936172075]","[134.65203398508686, 161.71978964869135]","[134.56887204307566, 161.44782527929524]",1.3090497998826423,[134.68098422 161.5984083 ],1.3929873376135353
48,81485531.90008095,"[102.51793250827083, 311.9649780895632]","[102.58246605569458, 311.8505607220066]","[102.63378055528612, 311.7466865105906]",0.12898750528547384,[102.54058547 311.85659078],0.10820391994261694
49,3188162.292354443,"[132.34717744988316, 274.24562032654455]","[133.75777550557794, 274.7989162211945]","[133.75415267916682, 274.4890319766042]",1.4673862321313615,[134.59918603 275.55423868],2.4439616355563287
50,3161507.962733548,"[94.02612038650325, 301.1687181449348]","[94.28743731253576, 300.7267742681096]","[94.43231936970238, 300.93151526157317]",0.512420099450345,[ 94.38487687 300.65275378],0.6272900938002943
51,7318856.488130089,"[127.12665477930469, 222.1762432530563]","[127.14679908275846, 221.8552728512816]","[127.15506445278582, 221.91695237832585]",0.2566682714982685,[127.12778414 221.85957062],0.2524846383524868
52,2337799.885657819,"[147.77821023992527, 192.97787187971818]","[147.90869750183035, 192.8368559389327]","[147.90170436960443, 192.41472904448193]",0.15053217183046286,[147.90528751 192.49735133],0.28559087754044593
53,16472731.153657556,"[148.51917648718236, 196.9776804983485]","[148.49824453617077, 196.5814710711649]","[148.39361238379243, 195.98119606947097]",0.20802298589528556,[148.5541621  196.35511798],0.326824968302076
54,2134788.3222038755,"[119.48756005050993, 297.0588955879401]","[119.41887144925721, 297.06342895332057]","[119.25083959828689, 297.20010635268176]",0.0688019359744817,[119.41327683 297.03817627],0.07644286156057514
55,1829435.5123327456,"[145.0545954330851, 213.03581807146273]","[144.80035739670222, 213.02040973438767]","[144.79481365053172, 213.4783443305743]",0.25439215496565787,[144.71829735 213.18921014],0.3476793590835219
56,5107085.945220146,"[111.97473001108546, 103.06782612919724]","[113.27577963410526, 105.1877813866219]","[113.26828579120377, 105.36069846500733]",2.349787488101477,[113.1477977  105.28115656],2.3565857268902515
57,1728693.5746258034,"[90.56017529373176, 119.78845891118188]","[90.0191057804145, 119.77436374966054]","[90.59718711033565, 120.18031383766294]",0.5412530695208383,[ 90.14721279 119.73113377],0.41692212676223606
58,7316369.329111744,"[89.80481755768348, 134.04919184991508]","[89.7908409223104, 134.23423428258852]","[89.94607817096555, 134.32358566591242]",0.1855683748342845,[ 89.86265182 134.25777574],0.21645246486999714
59,21852448.644271933,"[140.4803277215831, 99.42820911399932]","[140.43142004320285, 96.36441787963541]","[140.61839086763663, 96.17458048830623]",1.951105539838323,[140.48039284  96.01552423],2.1714459930612247
60,14418146.298851771,"[167.42430517846657, 153.6387384461686]","[168.04969542628467, 130.6127289165907]","[167.70120490773746, 129.21795762807136]",4.897855051068338,[168.73485843 237.97409847],15.970519806002459
61,3571412.6886726944,"[117.58118685370074, 24.085747265498537]","[117.15327557435272, 24.15441168113477]","[117.03385567280573, 24.332985963140157]",0.4322343315452436,[117.14828873  24.10912643],0.433395759967959
62,10383976.701755801,"[150.5837389065228, 295.3470266357608]","[151.333595719839, 320.2000890006267]","[151.09642813950217, 320.52992213466]",12.01469823217906,[151.14006808 319.874321  ],11.8855177215783
63,37637404.64537535,"[103.0704587924646, 121.76730483204993]","[102.92535796972385, 120.9626339090173]","[103.05902956522118, 121.10769463669895]",0.7973668055685915,[102.93514732 121.29404808],0.4805647918780776
64,1392134.6647340928,"[119.38924201223064, 120.43632441884196]","[119.10234815902136, 120.49084785204636]","[119.028607063714, 120.5484531892658]",0.2908114600616937,[119.90858042 120.31452447],0.5300161306870921
65,1761705.7301739291,"[146.13590646165142, 358.4404839020683]","[145.01540228309352, -0.8718745037794354]","[144.91611781895648, -0.7906376304289146]",1.1860052156902405,[1.4451564e+02 7.9541709e-03],1.8493408833017926
66,2222570.9156205677,"[113.75105690331506, 305.73995999982316]","[113.4292422662317, 305.7408012774384]","[113.318334439069, 305.80008790167085]",0.32181556059126637,[113.22100253 305.53047358],0.5638013098303644
67,1894659.115566794,"[94.04549467229813, 227.89470607274401]","[94.88229976774484, 227.8004924911326]","[94.43114110967633, 228.326027789207]",0.8420599967399088,[ 94.87342731 227.95227485],0.8299195880230749
68,38196033.575926684,"[154.66229861960775, 112.99254440678381]","[154.55099550673023, 112.58237404985732]","[154.55795058500678, 112.7022178383014]",0.20815056029013712,[154.57359273 112.47874704],0.23743240575545535
69,4326187.24460702,"[106.45241192740676, 98.22667226692651]","[107.11804509584344, 98.25777934983213]","[107.1277151521931, 98.21736394716473]",0.6662990724132468,[106.32414257  98.13924987],0.15325565989424547
70,1121761.0341949302,"[116.00765429069953, 312.81304278095064]","[116.1427353490789, 313.1544292944116]","[116.18930184183459, 313.3418647853222]",0.3350739385869826,[116.14678554 311.22763446],1.4307889010761623
